id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed_freq,property_type_freq
978887005633093342,43574350,1.0,0,5,2.0,1.0,1.0,1.0,600,4.897142857142858,121,0.07068630809638003,0.4502683567431769
979400513738726881,536893959,1.0,0,1,4.0,1.0,2.0,2.0,1300,4.8,25,0.01815690304898938,0.1747173689619733
979446878731385051,394103065,1.0,0,26,2.0,1.0,1.0,2.0,1099,2.642857142857143,4,0.17643028434395341,0.1747173689619733
979481561080225265,25122328,1.0,1,20,4.0,2.5,2.0,2.0,8694,4.96,49,0.2551101975562407,0.4502683567431769
979537084920483114,62488100,1.0,0,1,4.0,1.5,2.0,2.0,1500,4.857142857142857,1,0.17643028434395341,0.4502683567431769
979561324380807017,302464234,0.94,0,4,2.0,2.0,1.0,1.0,2000,4.928571428571429,4,0.07068630809638003,0.4502683567431769
979630784843402402,50996273,1.0,1,3,2.0,1.0,1.0,1.0,1725,5.0,729,0.04464999429028206,0.4502683567431769
979692785647773547,64031126,0.75,0,2,10.0,5.5,5.0,5.0,7000,4.928571428571429,4,0.04464999429028206,0.1747173689619733
980103203130802605,537053432,1.0,1,1,2.0,1.0,0.0,1.0,952,4.914285714285714,25,0.2551101975562407,0.4502683567431769
980154080056183236,12361034,1.0,1,2,2.0,1.0,1.0,1.0,499,4.965714285714286,289,0.07068630809638003,0.02135434509535229
980171468994404068,71480488,1.0,0,1,5.0,2.0,3.0,3.0,3850,4.814285714285715,49,0.023638232271325797,0.1747173689619733
980192305343313327,608782,1.0,0,2,2.0,1.0,1.0,1.0,1100,4.775714285714286,49,0.2551101975562407,0.4502683567431769
980253830609148125,537081453,1.0,0,1,2.0,1.0,1.0,1.0,769,4.408571428571428,196,0.2551101975562407,0.4502683567431769
980260796138118254,537083130,1.0,0,1,2.0,1.0,1.0,0.0,500,4.714285714285714,9,0.2551101975562407,0.4502683567431769
980263692662730555,537083593,1.0,1,1,4.0,2.0,2.0,2.0,1939,4.7614285714285725,225,0.2551101975562407,0.4502683567431769
980708667024501150,487012580,1.0,0,145,4.0,2.0,2.0,3.0,947,3.9857142857142853,64,0.04464999429028206,0.4502683567431769
980928159042433484,86459488,1.0,1,59,4.0,2.0,2.0,3.0,2159,4.764285714285714,9,0.01815690304898938,0.4502683567431769
980942319645107992,82591875,1.0,1,2,2.0,1.0,0.0,1.0,499,4.837142857142857,49,0.2551101975562407,0.4502683567431769
981643196404030093,353563782,1.0,0,1,4.0,2.5,3.0,2.0,5900,5.0,1,0.17643028434395341,0.1747173689619733
982343373988714800,366541495,1.0,1,1,4.0,1.0,2.0,3.0,1280,4.832857142857143,36,0.023295649194929772,0.062464314262875416
982380307561653643,537508715,1.0,1,1,2.0,1.0,1.0,1.0,499,4.9799999999999995,49,0.010505881009478132,0.04670549274865821
982451367650357503,40842104,1.0,0,1,4.0,2.0,2.0,2.0,2600,5.0,4,0.0509306840242092,0.1747173689619733
982594907462403812,537566985,1.0,1,1,6.0,1.0,2.0,4.0,800,4.734285714285714,144,0.0509306840242092,0.4502683567431769
983048310655678292,216927158,1.0,1,2,8.0,2.0,4.0,4.0,1557,4.848571428571428,256,0.02283887175973507,0.4502683567431769
983162649093370024,17182950,1.0,1,56,6.0,2.0,3.0,3.0,2715,4.840000000000001,324,0.17643028434395341,0.1747173689619733
983221401014775113,51293298,0.96,1,26,4.0,2.0,2.0,2.0,7671,4.914285714285714,64,0.2551101975562407,0.4502683567431769
983221759745094116,296117390,1.0,1,10,2.0,1.0,1.0,1.0,700,4.844285714285713,64,0.2551101975562407,0.4502683567431769
983248093888655695,296117390,1.0,1,10,2.0,1.0,1.0,1.0,514,4.838571428571428,225,0.2551101975562407,0.4502683567431769
983311457064050682,537733728,0.86,0,2,2.0,1.0,1.0,0.0,973,4.86,64,0.2551101975562407,0.4502683567431769
983341352357926641,14981337,1.0,1,1,4.0,1.0,2.0,3.0,1200,4.7871428571428565,196,0.04464999429028206,0.4502683567431769
983671100905141287,522143174,1.0,1,1,8.0,4.5,5.0,6.0,5814,4.905714285714287,81,0.02283887175973507,0.1747173689619733
983760043777452073,31361698,1.0,1,22,2.0,1.0,1.0,1.0,640,4.832857142857143,121,0.2551101975562407,0.4502683567431769
983805523872699277,27445132,1.0,0,1,4.0,2.0,2.0,2.0,7000,5.0,36,0.17643028434395341,0.03916866506794564
983863797954103762,445920789,1.0,1,4,2.0,1.0,1.0,1.0,2000,4.928571428571429,16,0.17643028434395341,0.4502683567431769
983867993994234292,61768961,1.0,0,41,2.0,1.0,1.0,1.0,1124,4.715714285714286,324,0.2551101975562407,0.4502683567431769
983888006098481336,445920789,1.0,1,4,2.0,1.0,1.0,0.0,2000,4.964285714285714,16,0.17643028434395341,0.4502683567431769
984062767147306890,62607928,1.0,0,4,6.0,1.5,3.0,3.0,1800,5.0,1,0.0509306840242092,0.1747173689619733
984117586348205541,16044643,1.0,1,1,2.0,1.0,1.0,1.0,700,4.988571428571428,576,0.2551101975562407,0.4502683567431769
984251652670056600,22792433,1.0,1,2,2.0,1.0,1.0,1.0,900,4.984285714285714,81,0.04430741121388603,0.060180427086901904
984436122109913690,47832096,1.0,1,1,2.0,1.0,1.0,1.0,1157,4.9399999999999995,2209,0.2551101975562407,0.4502683567431769
984558372481260290,90798683,1.0,1,37,2.0,1.0,1.0,0.0,836,4.817142857142857,225,0.17643028434395341,0.4502683567431769
984839197397779085,474552504,1.0,1,1,2.0,1.0,1.0,1.0,1054,4.868571428571428,256,0.2551101975562407,0.4502683567431769
985291098909807455,538190664,1.0,0,1,4.0,2.0,2.0,2.0,1729,4.394285714285714,64,0.17643028434395341,0.4502683567431769
985307240599814272,490933169,1.0,0,1,8.0,4.5,4.0,6.0,17000,5.0,1,0.04464999429028206,0.1747173689619733
985339564939911929,463660029,1.0,0,4,2.0,1.0,1.0,0.0,1946,5.0,36,0.04464999429028206,0.4502683567431769
985348103396901515,538204308,1.0,0,1,2.0,1.0,1.0,1.0,1425,5.0,64,0.05401393171177344,0.1747173689619733
985370787186892600,255784,1.0,1,11,6.0,2.0,3.0,3.0,1250,4.928571428571429,4,0.2551101975562407,0.4502683567431769
985503340664110555,62607928,1.0,0,4,2.0,1.5,1.0,1.0,650,5.0,4,0.0509306840242092,0.04670549274865821
985520127053894086,51193265,1.0,0,3,8.0,2.5,4.0,5.0,4251,4.628571428571428,25,0.17643028434395341,0.1747173689619733
985970752974467847,30960415,0.9,1,7,2.0,1.0,1.0,1.0,750,4.942857142857143,25,0.17643028434395341,0.4502683567431769
985985652600948635,447507612,0.99,0,70,4.0,2.0,2.0,3.0,1502,4.014285714285714,100,0.2551101975562407,0.4502683567431769
986016620960368533,442175718,1.0,0,2,2.0,1.5,1.0,1.0,1500,4.857142857142857,1,0.02626470252369533,0.4502683567431769
986054044916078489,447507612,0.99,0,70,2.0,1.0,1.0,1.0,975,4.162857142857143,64,0.2551101975562407,0.4502683567431769
986086909233084494,394103065,1.0,0,26,4.0,2.0,2.0,2.0,946,4.1085714285714285,64,0.2551101975562407,0.4502683567431769
986180942464772624,538397228,1.0,1,1,2.0,1.0,1.0,1.0,1500,4.985714285714286,400,0.2551101975562407,0.4502683567431769
986184709938317082,472463872,0.98,1,5,3.0,1.0,1.0,2.0,1043,4.771428571428571,400,0.2551101975562407,0.4502683567431769
986631028086868808,9424626,0.5,0,2,3.0,1.0,1.0,1.0,850,5.0,4,0.07068630809638003,0.060180427086901904
986916371712069065,62607928,1.0,0,4,2.0,1.5,1.0,1.0,650,4.857142857142857,4,0.0509306840242092,0.04670549274865821
987421374419649683,538648876,1.0,1,3,6.0,2.5,3.0,4.0,4486,4.757142857142857,900,0.2551101975562407,0.4502683567431769
987535832737596698,116018589,1.0,1,11,4.0,2.0,2.0,2.0,1250,4.732857142857142,64,0.04430741121388603,0.4502683567431769
987581543241081892,120181610,1.0,1,1,4.0,1.5,2.0,2.0,1343,4.978571428571429,361,0.07068630809638003,0.4502683567431769
987651247244966586,27676539,1.0,1,3,4.0,1.0,2.0,2.0,1971,4.988571428571428,144,0.17643028434395341,0.4502683567431769
987665703035363997,255727382,1.0,1,29,2.0,1.0,0.0,0.0,695,4.877142857142857,225,0.2551101975562407,0.4502683567431769
987761299357260215,49806570,1.0,1,9,4.0,2.0,2.0,3.0,2201,4.902857142857143,900,0.023295649194929772,0.4502683567431769
988077344760208969,58418543,1.0,0,1,4.0,1.0,2.0,0.0,1002,4.628571428571428,25,0.015873015873015872,0.1747173689619733
988246335363168399,6193093,1.0,0,3,2.0,1.0,1.0,1.0,653,4.84857142857143,196,0.2551101975562407,0.062464314262875416
988318832574230403,56246501,1.0,0,1,2.0,1.0,1.0,1.0,700,4.628571428571428,64,0.2551101975562407,0.4502683567431769
988476934332582954,537435975,1.0,1,3,4.0,1.5,2.0,3.0,871,4.9542857142857155,676,0.0509306840242092,0.062464314262875416
988953497995354740,532674068,1.0,1,6,4.0,2.0,2.0,2.0,1821,4.952857142857143,1156,0.2551101975562407,0.4502683567431769
989018873011831769,280368543,1.0,0,3,2.0,1.0,1.0,1.0,766,5.0,1,0.023638232271325797,0.4502683567431769
989080988493486657,236250173,1.0,0,1,8.0,3.0,4.0,5.0,7500,4.857142857142857,1,0.022153705606943016,0.1747173689619733
989103384764544208,6332635,1.0,0,1,4.0,1.0,2.0,3.0,951,5.0,81,0.0509306840242092,0.4502683567431769
989135728790343623,391206682,1.0,0,2,4.0,1.0,2.0,0.0,1021,4.928571428571429,16,0.04430741121388603,0.02135434509535229
989166806369976083,273280408,1.0,1,3,2.0,1.0,1.0,1.0,999,4.910000000000001,529,0.17643028434395341,0.4502683567431769
989603347800255572,539174930,1.0,0,1,4.0,2.0,2.0,3.0,1729,4.235714285714285,64,0.2551101975562407,0.4502683567431769
989679600275733760,76574144,1.0,0,22,6.0,3.0,3.0,4.0,1628,4.805714285714286,625,0.17643028434395341,0.4502683567431769
989851667933380650,207102450,1.0,1,2,4.0,2.5,2.0,2.0,1536,5.0,1,0.07068630809638003,0.011305241521068859
